id_evento,evento annullato?,programma ufficiale,titolo_evento,id_luogo,nome_luogo,comune,provicia,indirizzo,latitudine,longitudine,luogo_unique_name
4382,NO,NO,Macramé live @1806Café,37,1806 Café,Matera,Matera,Via Lucana 238,40.6613076,16.61025,1806 Café (Matera)
2939,NO,SI,Mads Greve,435,Open Design School - Casino Padula,Matera,Matera,Via Dei Pesci,40.642424,16.624893,Open Design School - Casino Padula (Matera)
3059,NO,SI,Mads Greve,435,Open Design School - Casino Padula,Matera,Matera,Via Dei Pesci,40.642424,16.624893,Open Design School - Casino Padula (Matera)
2432,NO,SI,Magie e performance nel giardino,242,Giardino Dei Momenti,Matera,Matera,Via Della Quercia,40.65942,16.60428,Giardino Dei Momenti (Matera)
2071,NO,NO,Mama Duo,223,El Tablao,Matera,Matera,Via Cesare Beccaria 10,40.6686586,16.6047758,El Tablao (Matera)
2082,NO,NO,Mama Duo in concerto,223,El Tablao,Matera,Matera,Via Cesare Beccaria 10,40.6686586,16.6047758,El Tablao (Matera)
2882,NO,NO,Mamma + Mamma,195,Cinema Il Piccolo,Matera,Matera,Via XX Settembre 14,40.66805,16.60663,Cinema Il Piccolo (Matera)
3083,NO,NO,Mammamiaaa Breadway Day,14,Luoghi vari,Matera,Matera,,40.666667,16.6,*Luoghi vari (Matera)
4771,NO,SI,Mammamiaaa Day,517,Piazza San Pio X,Matera,Matera,Via Francesco Petrarca,40.672281,16.595658,Piazza San Pio X (Matera)
4771,NO,SI,Mammamiaaa Day,122,Casa Netural,Matera,Matera,Via Galileo Galilei 1,40.676612,16.594213,Casa Netural (Matera)
2069,NO,NO,Mammamiaaa Day a Plovdiv 2019,319,Matera E Plovdiv,Matera,Matera,Via Galileo Galilei 1,40.6766034,16.5942019,Matera E Plovdiv (Matera)
2353,NO,NO,Mandala Dinamico,195,Cinema Il Piccolo,Matera,Matera,Via XX Settembre 14,40.66805,16.60663,Cinema Il Piccolo (Matera)
4516,NO,SI,Mangiafoco,142,Cava Del Sole,Matera,Matera,Strada Statale 7 Via Appia 32,40.681151,16.598275,Cava Del Sole (Matera)
3885,NO,SI,Mani in pasta,50,Agriturismo La Gravina,Terranova Di Pollino,Potenza,Contrada Casa Del Conte,39.9737,16.2732,Agriturismo La Gravina (Terranova Di Pollino)
4838,NO,SI,Manifesto,512,Piazza San Francesco,Matera,Matera,Piazza San Francesco,40.665178,16.609166,Piazza San Francesco (Matera)
4838,NO,SI,Manifesto,523,Piazza Vittorio Veneto,Matera,Matera,Piazza Vittorio Veneto,40.666916,16.606227,Piazza Vittorio Veneto (Matera)
2230,NO,NO,Manuela Panzironi in Duo Live,223,El Tablao,Matera,Matera,Via Cesare Beccaria 10,40.6686586,16.6047758,El Tablao (Matera)
2522,NO,NO,Marano Equo 1982 - Matera 2019: Nuova Corale in concerto,189,Chiesa Maria Santissima Addolorata,Matera,Matera,Viale Nazioni Unite 53,40.6674326,16.5940205,Chiesa Maria Santissima Addolorata (Matera)
2459,NO,SI,Maratona Di New York,69,Auditorium R. Gervasio,Matera,Matera,Piazza Del Sedile,40.665332,16.609669,Auditorium R. Gervasio (Matera)
2281,NO,SI,Maratona Di New York,142,Cava Del Sole,Matera,Matera,Strada Statale 7 Via Appia 32,40.681151,16.598275,Cava Del Sole (Matera)
2450,NO,SI,Mare Nostrum Un Accidenti,99,Casa Cava,Matera,Matera,Via San Pietro Barisano 47,40.668458,16.609254,Casa Cava (Matera)
4501,NO,SI,Marghe e sua Madre,195,Cinema Il Piccolo,Matera,Matera,Via XX Settembre 14,40.66805,16.60663,Cinema Il Piccolo (Matera)
2561,NO,NO,Maria Barbella,99,Casa Cava,Matera,Matera,Via San Pietro Barisano 47,40.668458,16.609254,Casa Cava (Matera)
3620,NO,NO,Marina Mulopulos In Concerto,306,Largo Cantore Senise,Pisticci,Matera,Via Fanti,40.23.410216.33.5514,,Largo Cantore Senise (Pisticci)
2707,NO,NO,"Marisa Facchinetti, Il piacere della pittura",64,Arti Visive Gallery,Matera,Matera,Via Delle Beccherie 41,40.6658511,16.6079531,Arti Visive Gallery (Matera)
3251,NO,NO,"Marisa Settembrini, Nel silenzio degli spazi infiniti",64,Arti Visive Gallery,Matera,Matera,Via Delle Beccherie 41,40.6658511,16.6079531,Arti Visive Gallery (Matera)
3962,NO,SI,Marsico Nuovo Capitale per un giorno,365,Municipio,Marsico Nuovo,Potenza,Piazza Unità D'italia 1,40.419604,15.733092,Municipio (Marsico Nuovo)
